EmployeeNumber,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,OverTime,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,DistanceFromHome,NumCompaniesWorked,Attrition
58,24,Human Resources,Human Resources,1950,2,0,Yes,2,2,1,17,5,Yes
59,40,Research & Development,Research Scientist,5800,8,4,No,4,3,4,9,0,No
60,33,Sales,Sales Executive,4300,5,1,No,3,3,3,14,7,No
61,28,Research & Development,Laboratory Technician,2100,3,1,Yes,2,2,2,21,2,Yes
62,45,Research & Development,Manufacturing Director,9000,13,5,No,4,3,4,3,3,No
63,35,Research & Development,Research Scientist,4700,7,2,No,3,3,3,18,1,No
64,27,Sales,Sales Representative,1600,1,0,Yes,1,1,1,29,2,Yes
65,41,Research & Development,Laboratory Technician,5300,9,3,No,3,3,3,7,0,No
66,32,Human Resources,Human Resources,3000,4,2,No,4,3,4,11,1,No
67,48,Research & Development,Senior Scientist,10500,16,5,No,4,3,4,5,2,No
68,26,Sales,Sales Representative,1750,1,0,Yes,2,2,2,24,4,Yes
69,37,Research & Development,Research Scientist,5200,6,3,No,3,3,3,15,0,No
70,30,Research & Development,Laboratory Technician,2600,4,1,No,3,3,2,20,3,No
71,43,Sales,Sales Executive,6200,11,4,No,4,3,4,8,5,No
72,25,Research & Development,Laboratory Technician,1850,2,0,Yes,1,1,1,26,6,Yes
73,34,Research & Development,Research Scientist,4000,6,2,No,3,3,3,13,1,No
74,50,Research & Development,Research Director,13500,18,8,No,4,3,4,4,2,No
75,29,Human Resources,Human Resources,2400,3,1,Yes,2,2,2,16,3,Yes
76,38,Sales,Sales Executive,5400,7,2,No,3,3,3,10,6,No
77,23,Research & Development,Laboratory Technician,1700,1,0,Yes,2,2,1,22,5,Yes
78,44,Research & Development,Manufacturing Director,9200,12,6,No,4,3,4,6,2,No
79,31,Research & Development,Research Scientist,3500,5,1,No,3,3,3,19,0,No
80,26,Sales,Sales Representative,1650,1,0,Yes,1,1,2,28,1,Yes
81,39,Research & Development,Laboratory Technician,5000,8,3,No,3,3,3,9,0,No
82,55,Research & Development,Senior Scientist,14000,22,9,No,4,3,4,3,1,No
83,27,Human Resources,Human Resources,2100,2,0,Yes,2,2,2,15,4,Yes
84,33,Sales,Sales Executive,4100,6,2,No,3,3,3,12,8,No
85,46,Research & Development,Research Scientist,7200,11,4,No,4,3,4,7,0,No
86,24,Research & Development,Laboratory Technician,1800,2,0,Yes,1,1,1,25,6,Yes
87,40,Research & Development,Manufacturing Director,8600,10,5,No,4,3,4,5,3,No
88,35,Sales,Sales Executive,4600,7,1,No,3,3,3,11,5,No
89,29,Human Resources,Human Resources,2300,3,1,No,3,3,3,14,2,No
90,36,Research & Development,Research Scientist,4900,6,3,No,4,3,4,8,0,No
91,28,Research & Development,Laboratory Technician,2000,3,0,Yes,2,2,2,20,3,Yes
92,51,Research & Development,Senior Scientist,11500,17,6,No,4,3,4,4,1,No
93,30,Sales,Sales Representative,1900,2,0,Yes,1,1,1,27,2,Yes
94,42,Research & Development,Research Scientist,6100,9,4,No,3,3,3,10,0,No
95,37,Research & Development,Laboratory Technician,3400,6,2,No,3,3,3,16,1,No
96,25,Human Resources,Human Resources,2000,2,0,Yes,2,2,1,18,4,Yes
97,43,Sales,Sales Executive,6400,10,3,No,4,3,4,9,6,No
98,32,Research & Development,Research Scientist,3800,5,2,No,3,3,3,13,1,No
99,27,Research & Development,Laboratory Technician,2200,3,1,Yes,2,2,2,23,5,Yes
100,48,Research & Development,Manufacturing Director,9600,15,7,No,4,3,4,3,2,No
